name,ratings,date,helpful,comment,developer_comment
이상현,1,2020-10-05,0,개발자분들이 실력이 없으면 그냥 다른곳에 넘겨주고 어플 새로 만들어라 몇개월이 지나도 느린건 여전하네 ㅋㅋ100만명 동시접속?100만명 동접할일 없으니까 속도 개선좀 해요~,
DA T,3,2020-10-05,0,퍼스트먼데이가 적용되는거 안되는거가 섞여있어 쓰기가 어렵네요..,
거누거누,1,2020-10-05,0,지나느롯데닷컴에 비해 5배정도 느려서ㅜ쇼핑하기가 싫어집니다,
송철호,2,2020-10-05,0,"롯데프레시에서 생일쿠폰이 왔다고 해서 로그인해서 보니 보내준 쿠폰의 마이페이지 항목에서 보이지 않구요, 그래서 롯데프레시로 이동하니 또 별도로 로그인해야합니다. 통합할게 많은듯 하네요. 일괄통합되지않는다면 이용자를 짜증나게 할뿐이고 주는쿠폰도 이용하지 않게 되겠지요. 여러가지 잘 고려하셔서 UX 잘 짜시기 바랍니다~",
우가연,1,2020-10-05,0,제발.. 장바구니 추가와 삭제시.. 빨리되게 해주세요. 로딩이 넘넘 오래걸려요.. 롯데닷컴때만큼..돌아가주세요ㅜㅜ 롯데온에서 쇼핑 진짜 마니하거든요ㅜ,
sirius byun,1,2020-10-05,0,"쓰레기 최악. 주문 취소 버튼도 없어, 배송도 늦어. Cs도 엉망. 주문취소 기능도 없어 1:1 문의로 주문취소 환불했는데, 배송 보내. 취소해달라고 몇번을 전화했는데, 판매사 플랫폼사 서로 미루기만해. 서비스 엉망",
nakamura satosi,3,2020-10-05,0,롯데온앱도 그렇고 롯데마트앱도 그렇고 너무 느리다. 상품 검색과 결제가 힘들정도. pc로 하면 그나마 나은데 앱은 왜이런지,
오S,1,2020-10-05,0,답답하네요..안 쓰고싶어요..,
이미숙,1,2020-10-05,0,즈ㅡㅡㅡㅡ드ㅡㅡㅡㅢㅣㅣ,
무한리필마스터,1,2020-10-05,0,롯데 회장이나 사장들이 이 어플쓸일이 없으니 뭐가 개선해야할지 하나도 모르겠지 ㅋㅋㅋㅋ,
Ji-Young Park,1,2020-10-04,0,로그인이 안되는 쇼핑어플이라니,
김기덕,1,2020-10-04,0,먼저 댓글 다신분 말씀이 맞네요 왠만하면 구매하려고 했는데 1시간 시간보내고 다른데서 구매하려 합니다.,
오준열,1,2020-10-02,0,when do u want it,
ᄋᄋ,1,2020-10-01,0,"아후ㅆㅡㅡ 모바일로 로그인도안돼 ,앱설치도안돼 시작도못하고사람 개열받게하네 롯데는원래다이런가요? ㅋ",
Blade Runner,3,2020-09-30,0,글씨체가 너무 작아요,
International TOW,1,2020-09-30,0,이거 잘못 만듬. 롯데홈쇼핑에서 주문한 내역 안나옴.,
Yongwoo Kim,1,2020-09-30,0,너무 느려서 도무지 사용이 어렵습니다...,
