name,ratings,date,helpful,comment,developer_comment
이민섭,5,2020-10-03,0,그냥 편해요,
이의숙,5,2020-10-02,0,어려움,
림행크,1,2020-10-01,0,그지같은 사기꾼들 의자사고 배송비때문에 물같이 샀더니. 물만 오고 의자는 없네 그러고 나서 배송완료... 4만원짜리 물 샀네... 더러워서 이제 이용안한다 뭐 추가적인 연락도 없고,
퍼즐1,1,2020-09-28,0,자꾸 떠서 싫습니다,
맹주희,1,2020-09-26,0,역겨움,
선교한국TV,5,2020-09-24,4,앱 사용은 만족합니다. 다만 일부 배송 기사가 골목길이라고 집까지 배송 안해줘서 무척 힘들었습니다.,
어물정,4,2020-09-22,0,잘쓰고있습니다.,
Hanjeong Jo,5,2020-09-20,0,굿굿,
Weddbs Qor,1,2020-09-20,18,쿠팡 쓰다 이거 쓰니 속터짐. 앱만 하나지 이마트니 신세계니 해서 중복되는 상품들 나와서 검색도 오래걸리고.. 여러개 쇼칭몰을 대충 하나로 묶으면 통합인가.. 사용자가 상품 사기 쉬워야 통합이지,
김량한,1,2020-09-15,0,bg,
Ga Yeon Jung,2,2020-09-14,4,앱 아이콘 옆에 빨간색으로 숫자 1이 계속 떠있는데 이것 좀 없애주세요 알림 뜬거 다 확인했는데도 남아있어서 넘 불편해요ㅜㅠ,
씸바쌈바,1,2020-09-13,0,앱 키자마자 신선식품이 가장먼저 나왓으면 합니다 불편해요,
Hyojung Park,4,2020-09-10,0,스킨도,
김진옥,5,2020-09-10,1,좋은상품 저렴한가격에 안전하면서 빠른배송에 늘~감사드림니다~~^^^,
이인동,5,2020-09-08,9,검색 -> 피코크 공식 스토어 -> MD's pick의 더보기 클릭 시 크래시 나면서 앱 종료됩니다(로그인 여부 무관). 수정 부탁드려요~,
멜론,1,2020-09-08,0,헉.쿠팡 이용하다가 배송이 넘 맘에 안들어서.바꿔보려고 가격비교해보니.어이없네.공산품 가격을 예로들면.이과수커피 100그램.2통산가격.쿠팡9900원와우회원 Ssg한통 배송비까지9800정도.그냥 쿠팡으로 간다.모르면 이용하겠지만.알고는 못바꾸겠네.,
김재규,5,2020-09-06,547,"장바구니에 있는 목록들의 순서를 이동, 변경할 수 있게 해주면 좋겠습니다. 장바구니에 담은 시간 순서로 되어 있어서 비슷한 물품이 아래 위 여기저기 있을 때 선택하는 데 불편이 있습니다. .....그리고 힌가지... 여기에 써봐야 개발자나 고객의견 전달자는 전혀 안 보는 건가요?",
몽심,1,2020-09-03,2,"아..ssg페이바뀌고 지금까지쓱배송 잘사다가 사람귀찮게 만들어놨음 ..아기가있어 짬짬히물건 시켰는데 뭘 다시깔아야하고,, 뭐 포인트쓰면 카드할인이안되고 뭐하면 뭐가안되고,열불나서..,쓱카드 왜만들었는지.. 포인트는 줘놓고 왜 ssg카드쓰면 안되냐구요 . 그러면 포인트를 주지말던지 ssg카드를 만들지말게 하던지 뭐하지는 심보인지 ..이럴리고 포인트 못쓰게할라고 바꿨고만,, 연회비도 비싸게 받아먹고 양심좀..",
jin-kyung koo,1,2020-09-03,1,"주문은 받고 발송직전에야 품절이라고 임의취소하고 취소완료띄워서 취소처리현황 따위 확인할 방법도 없고 환불처리는 주문한 결제방식으로가 아니라 추가주문한 카드로 된다는것도 어디에도 고지되어있지않고 직접 상담사에게 문의해야만 알수있음. 적어도 특정상품이 품절이면 배째라식으로 발송직전 톡 날려서 이러지도저러지도 못하게 할게 아니라 전체취소여부를 묻는게 맞고... 취소처리완료 띄우고 배째라 할게 아니라 처리현황이 어떻게,어디로 되어가고 있는지 정도는 씈배송 자체에서 확인가능하게 할수있는게 맞지않나요.주문은 받아놓고 품절로 취소시킨것만으로도 짜증나는데 고객이 직접 다 여기저기 돌아다니면서 어디로 어떻게 환불되는지도 일일이 확인해야되나요. 좋은 상품이 꽤 많음에도 이제 신세계상품권 생길때를 제외하곤 씈배송은 자제해야겠습니다.시스템이 너무 엉망이예요. 매번 주문때마다 스트레스받음.",
박현아,2,2020-09-02,0,가격이 사악해요..,
이동호,5,2020-09-01,0,♡,
도경연,5,2020-08-29,0,최고에요,
전건우,5,2020-08-29,0,좋습니다 ㅎ 항상 감사합니다,
얼H,1,2020-08-29,0,애드웨어...,
김상현,5,2020-08-25,0,너무좋아요,
Hun Choi,1,2020-08-25,4,하루 3번 자동으로 실행되는 세계 최악의앱 어떤 권한없이도 자동실행ㅋ,
Hyunwoo Lee,5,2020-08-25,196,"[2020-8-25]개선된 UI에 만족하며 SSG, 이마트몰, 트레이더스, 새벽배송 모두 똑같은 앱으로 공통화한 부분은 고객 만족도에 좋아보입니다. 추가적인 건의사항드립니다 1. 베스트 랭킹이 이게 진짜 베스트인지 의문의 조금 드는 리스트던데 확인부탁드려요. 어떤 메커니즘으로 동작하는지.2. 또한 대부분의 쇼핑몰은 앱 설치시 추가 혜택을 줘서 앱설치를 강제화 합니다. 3.뽐뿌 핫딜을 통해 주로 사용하는 쇼핑몰을 고르는 경우가 많습니다. 신선배송의 경우는 경쟁력이 있는데 일반 쇼핑몰의 경우 경쟁력있는 핫딜 제품으로 뽐뿌 등을 통해 앱설치 유인을 하면 신선배송과 쇼핑몰 양쪽으로 윈윈이 되지 않을까 생각됩니다. [2020-7-26] 개발자,주주, 사용자로서 건의드립니다. 앱이 기능적으로는 좋으나 너무 많은 기능이 난잡한 것이 단점입니다. 사용자는 이마트몰인지 트레이더스 몰인지 크게 상관없이 물건을 구입라는것에만 관심이 있습니다. 그런관계로 다양하게 벌려져있는 몰들을 통합하고 기능들을 통합",
jin K,1,2020-08-24,0,뭔놈의 어플이결제가안됨? 심지어 고객센터는 하자있는것도 알고있음ㅋㅋ,
kyeongeun hwang,5,2020-08-21,3,쇼핑하기 편리해요.,
sh h,1,2020-08-18,0,별로다,
오라임,1,2020-08-18,0,너무 조잡해요..,
ᄋᄋ,1,2020-08-17,3,왜 결제할 때 새마을금고 카드는 없음?차별?머임? 돈을 준다는데 낼 수가 없네,
김종민,4,2020-08-15,4,간편하고 사용하기 편리하다,
YINGYU PIAO,4,2020-08-13,0,이른 새벽에 배달해주셔서 감사합니다.만족합니다.,
Juran Lee,1,2020-08-13,0,업데이트를 하니 안들어가져요ㅠ,
박을순,1,2020-08-12,97,업데이트가 잘못된건지 상품 검색이 안되는게 많아서 구매하기가 매우 불편합니다 자주 이용하는데 지금은 타 쇼핑몰에서 구매합니다,
김동선,5,2020-08-11,0,좋았어요,
min seo,1,2020-08-10,20,신선식품이 첫페이지에 나왔으면 좋겠어요. 신선식품이 최고 경쟁력인데.. 조잡해 보이지 않게 심플하게 개편해주세요.,
류경희,4,2020-08-06,16,사용 디자인이 많이 바뀌어서 불편합니다.,
Hong Yoon,5,2020-08-02,26,앱 UX가 심플하게 바뀌었네요. 예전과는 많이 달라졌는데 더 편해진 듯합니다.,
die bad,2,2020-08-02,7,클립할인 메뉴 어디 갔나요ㅡㅡ 젤 유용하게 쓰는 기능인데 클립해놓고 가격 떨어지는거 보고 주문하는 맛으로 사용하는데 클립할인 되돌려주세요,
김공주,2,2020-08-01,39,미국에서 발행한 Chase 카드로 결제 하려니 결재가 안됩니다. 하.. G마켓도 결재 잘되는데 신세계가 결재가 안되는게 이해가 안되네요. 도대체 왜죠?,
장원주,5,2020-07-30,0,뭔가 깔끔해졌네요~^^/,
이화영,5,2020-07-30,0,이사마트,
HYUNY [TV],1,2020-07-29,0,써볼까 했는데 평가도 매우 안 좋고 평점도 매우 낮고 불만글 넘쳐서 그냥 지움 얼마나 관리를 안 하면 앱 관리자 답글도 없나 싶네,
이율,1,2020-07-28,16,쿠팡하고 너무 비교됩니다...너무 난잡하고 불편합니다..그렇다고 가격 경쟁력도 없고...안타깝네요..,
구름,4,2020-07-19,152,"배송 시간도 예약할 수 있고 이것저것 상품도 많아서 좋긴 한데.. 개인적으론 1. 후기 작성 수를 더 늘려주셨음 좋겠어요. 아무리 많이 구입해도 20개 작성하면 더 이상 쓱 머니를 받을 수 없으니 아쉬워요 ㅜㅜ 최소 10개라도 늘려주셨음 좋겠네요.. 2. 등급별 혜택에서 5%할인 쿠폰과 무료배송쿠폰 중 하나를 선택하게 해줬음 좋겠습니다. 쿠폰은 3만 원 이상 사지 않으면 못쓰니 차라리 무료배송 쿠폰을 더 주셨음 해요. 3. 고객센터 톡이 자꾸 네트워크 불안정이라고 뜹니다. 몇 달전부터 계속 이러는데 최대한 빨리 고쳐주시면 감사하겠습니다. 4. 상품 볼 때 쓱배송이랑 신세계, 트레이더스?몰 따로 따로 볼 수 있어서 좋았는데 없어져서 상품 보기가 불편해요. 이것도 다시 예전으로 돌아갔으면 하는 바람입니다.",
배혜경,2,2020-07-16,0,거짓말 하는사으트같음,
Yongwoo Seo,1,2020-07-15,6,아니 대체 왜 아이디랑 비번이 맞는데도 자꾸 틀리다고 나옵니다. 돌아버리겠어요.,
안녕잘날,1,2020-07-09,0,불편한데다 배송도 늦네요 예정시간 문자도 없고 오늘 주문하면 내일 xx시부터 도착 이렇게 적혀있었는데 2일 지나도 안오고 진짜ㅋㅋ 쓱이 택배 안와서 그냥 기다리기 포기하면 그 사이에 몰래와서 쓱 놓고간다는 쓱이였나봐요,
저녁뭐먹지,2,2020-07-06,0,신세계는 왜똑같은 앱을 3개 만드는지?,
M L,1,2020-07-06,81,간편회원가입 차별 쩐다 운영이 왜 그렇게 구시대래 정말 불편하다 ㅉ,
jaemi00 k,1,2020-07-02,4,ㄹㄷ나 ㅎㅍ등 타 쇼핑몰에 비해 서비스도 처리속도도 엉망이네요,
용수김,5,2020-06-28,0,굳,
신휘,5,2020-06-26,0,저럼하게구임,
김복순,1,2020-06-25,5,새벽배송 안되는거 미리 알 려야지 꼭 결재하려면 포함되었대 완전 귀찮 황당,
Ko묘묘,2,2020-06-25,3,와우. 판매량순을 쥐도새도 모르게 없애버리셨군요?올해 초에 마케팅 수신 혜택 박살내고 되도않는 쓱티커 빙고 뽑기 도입하더니 쓱티커 당첨 상품도 몇달새에 박살이 났어요. 물건값이랑 월급도 빙고판으로 받아가시지 그러세요.,
